Product Name,Category,List_Price,Special_price,Description,Rating,Img_url,Product_url
Ultra Lightweight Transport Chair with 22 Inches Extra Wide Seat and 350 Pounds Support By Feather Mobility,Manual Wheelchairs,"$1,033.41",$777.00,"Patients and caretakers looking for the most portable manual wheelchair with a wide seat and incredible weight capacity will love the Feather Chair HD Ultra Lightweight Manual Wheelchair - 22 in. The extra room inside the user's cabin allows individuals up to 350 pounds with limited mobility to have a lightweight wheelchair option built to last.Ultra lightweight wheelchairs are ideal for those with limited strength to lift/move around, Velcro upholstery enables tension to be tightened to customers specific needs/desires.

Travel by airplane, car, or public transportation with speed and comfort, thanks to the design features making this the world's lightest heavy-duty wheelchair. Safety features like brakes on the wheels and handles, an optional seat belt, and a solid frame put this wheelchair at the very top of the list of the best wheelchairs of its kind.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/featherweightcollection_14_600x.jpg&quality=80&newwidth=500,https://www.rehabmart.com/product/feather-chair-hd-ultra-lightweight-manual-wheelchair-22-inch-52561.html
Karman Healthcare Star Two Manual Wheelchair,Manual Wheelchairs,"$1,079.56",$811.70,"The  Karman Healthcare Star Two Manual Wheelchair is a dynamic manual wheelchair that offers the user a broad range of features that improve the overall comfort, convenience, and safety of its use. The wheelchair is made with ultralight, aircraft grade aluminum that ensures structural integrity and functionality. 

Weighing just 28 pounds, the low overall weight helps contribute to the easy portability and maneuverability of the wheelchair. The frame itself features an innovative elliptical ergonomic shape to both its seat and its armrests, which ensures that the user is positioned into an ideal, comfortable seating position.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/star_karman_healthcare_manual_wheelchair.png&quality=80&newwidth=362,https://www.rehabmart.com/product/karman-healthcare-star-two-50492.html
XO-101 Standing Wheelchair with Multi Functional Tray by Karman Healthcare,Stand-Up Wheelchairs,"$10,320.80","$7,760.00","The XO-101 Standing Wheelchair from Karman Healthcare is a comfortable, lightweight wheelchair that features innovative, battery powered adjustments to assist users in transferring between seated and standing positions. With a frame built from quality T6 aircraft grade aluminum, this wheelchair is the lightest power stand up wheelchair on the market! Users can safely adjust themselves to a standing position with the push of a button which is powered by an incredible nickel metal hydride battery. This sit-to-stand ability makes the wheelchair a perfect tool for any user who may need assistance in sit-to-stand transfers due to instability, limited mobility, or any other potential limitation. 

Besides the powerful hydride battery, the XO-101 boasts incredible features that also come standard: memory foam back cushions, anti-tippers, padded knee support, flip up footplates, and full length flip back armrests!",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/xo101~1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/xo101-standing-wheelchair-50499.html
Teak ADA Compliant Wall Mounted L-Shaped Shower Bench,ADA Compliant Shower Benches,"$1,021.01",$767.68,"The Teak ADA Compliant L-Shaped Shower Bench is handcrafted from quality teak with heavy duty stainless steel frames and mounting brackets to meet or exceed ADA guidelines when properly installed. Teak wood is naturally water resistant which guards against mildew and mold growth, making the bench the perfect addition to any shower, sauna, gym, or other places with a wet environment. High-quality materials ensure that the bench will remain useful and beautiful for years to come. See below for other benefits of using Teak wood.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/leftada-04_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-ada-compliant-lshaped-transfer-bench-40067.html
Stainless Steel Folding Dressing Bench - ADA Compliant,ADA Compliant Shower Benches,"$1,362.94","$1,024.77","The Stainless Steel ADA Folding Dressing Bench, which supports up to 500 pounds, can lower and raise to make room for dressing and undressing in public restrooms and dressing rooms located in places such as gyms, swimming, recreational park, and shopping facilities. Available in adult models, the Dressing Bench folds flush with the wall when not in use. The Dressing Bench comes with your choice of either a phenolic or padded Naugahyde surface, which is seam-sealed to keep out moisture and bacteria.",4.5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/ab8ecf_9d7507c08d9f45339eab4e4dfe4cbe36_mv2.jpg&quality=80&newwidth=420,https://www.rehabmart.com/product/dressing-bench-31557.html
Teak Shower Bench with Drop Down Legs - ADA Compliant - by TeakWorks4U,ADA Compliant Shower Benches,$922.55,$693.65,"The Teak Shower Bench with Drop Down Legs from TeakWorks4U makes a stylish and practical addition to any shower, steam room, gym, or sauna. A durable construction made with high-quality materials help to ensure that the shower seat lasts for years to come. The teak wood naturally repels water and resists bacteria and mold growth, making it perfect for wet environments. The Teak Shower Seat with Drop Down Legs is available in multiple sizes and two beautiful teak wood-tones to suit any decor and preference.
		
 This product was featured in the following articles: Ultimate Guide for How to Choose the Best Shower Bath ChairAging in Place: Affordable Bathroom Updates That You Really NeedThis product is non-returnable.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/standard-ada-legs_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-ada-compliant-shower-benches-with-drop-down-legs-40068.html
Teak ADA Compliant Wall Mounted Shower Bench,ADA Compliant Shower Benches,$774.87,$582.61,"The Wide Teak Wall Mounted Shower Seat is ADA compliant with a durable frame and a comfortable seat. The Shower Seat folds up when not in use for saving space. The edges are rounded and sanded by hand for a beautiful look that's also gentle to the touch. High-quality materials such as marine grade stainless steel screws, Titebond waterproof wood glue, and exquisite real Teak wood make the Shower Seat a beautiful addition to any bathroom. The Shower Seat is available in multiple sizes and two Teak wood color choices.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/tbf-220160w-4_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-ada-compliant-wall-mount-shower-bench-40060.html
"Luxury Teak Shower Bench Stool with Shelf and 500 lb. Weight Capacity for Bathroom, Spa, Sauna, Pool Area, Deck, and Garden",ADA Compliant Shower Benches,$705.83,$493.59,"The Deluxe Teak Shower Bench makes a great addition to showers, steam rooms, gyms, or any part of a house. The bench is available in beautiful Teak wood that provides a natural look that blends into any decor. A removable shelf provides easy and convenient storage. The natural qualities of Teak are resistant to moisture, mildew, and bacteria, making it a great addition to a wet environment. High-quality materials ensure longevity.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/tb-3014hd_bench_3097dbb4-d3da-424d-8b66-b5a70a57c8e2_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/deluxe-teak-shower-bench-with-shelf-40059.html
Folding Wall Mounted Shower Seat - Teak Wood Shower Bench with 440 lb. Weight Capacity,ADA Compliant Shower Benches,$732.42,$550.69,"Elegantly designed to add beauty to your bathroom, the Teak Wood Shower Bench with Wall Mount from TeakWorks4U is strong and durable for long-lasting performance. It's ideal for users requiring extra support and stability, especially while showering. Safely accommodating users weighing up to 440-pounds, this bath bench can be mounted directly to the shower wall. It includes marine-grade stainless steel screws and custom-made 304 stainless steel wall brackets to provide a secure mount that won't corrode in a wet shower environment. Conveniently folding down and out of the way when not in use, this teak shower bench comes in three widths to adequately meet your needs and preferences.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/teak-shower-seat-36whd.jpg&quality=80&newwidth=484,https://www.rehabmart.com/product/teak-shower-bench-teakworks4u-49791.html
Teak Bathtub Bench with Adjustable Locking Clamps with 250 lb. Weight Capacity,ADA Compliant Shower Benches,$371.86,$260.04,"The adjustable bathtub bench secures firmly across the top of the bathtub. The bench is made of the incredibly resilient and beautiful heartwood of Teak. The wood is naturally resistant to mold, mildew, and bacteria growth. The bench is reinforced with marine-grade stainless steel to increase stability and longevity of the bench.  The bench is available in Plantation Teak.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/teak_bathtub_shelf-seat.jpg&quality=80&newwidth=500,https://www.rehabmart.com/product/adjustable-teak-bathtub-bench-47171.html
Wall Mounted ADA Compliant Shower Bench,ADA Compliant Shower Benches,$674.80,$471.89,"The ADA Compliant Wall Mounted Shower Bench provides shower seating in public and private bathroom facilities. Perfect for use in swimming, gym, and rehabilitation facilities, the shower bench folds away when not in use. The durable stainless steel frame supports up to 250 pounds when properly mounted. Choose from an easy-to-clean phenolic or cushioned naugahyde top, which are seam-sealed to block out water and bacteria. 

Depending on the shower placement, you can choose from a left or right side top. When installing in a facility or home, there must be adequate wall supports for safety purposes. We recommend you consult with a contractor prior to installation. For health reasons we are unable to accept returns or exchanges of hygiene products. Please allow a lead time of 2-3 weeks for this product.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/bench1.jpg&quality=80&newwidth=311,https://www.rehabmart.com/product/wall-mounted-shower-bench-969.html
Folding Teak Shower Bench - ADA Compliant with 300 lbs. Weight Capacity,ADA Compliant Shower Benches,$725.77,$545.69,"The Teak Seat for Bathtubs brings a standard bathtub up to ADA compliance with style. Adjustable calms and a non-slip fold-up leg combined with a stainless steel frame make the Teak Seat safe and secure. The durable Teak not only is beautiful but lasts longer than traditional materials like plastic bath benches. The Bath Bench comes in two beautiful and stylish Teak wood color options, sure to fit into any decor and personal preference.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/teak1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/ada-compliant-teak-seat-for-bathtubs-46573.html
Versable Portable Tub Bench - ADA Compliant,ADA Compliant Shower Benches,$790.78,$594.57,"This ADA Portable Shower Bench is designed to prevent needless injuries by allowing an individual to sit down on the seat with their legs and feet outside of the tub. A bathtub can be one of the most dangerous places in the home, with more falls, slips, and accidents happening there than in any other location. With this seat users simply swing their legs one or two at a time, with or without assistance over the tub wall. This very strong transfer bench can safely support up to 350-pounds and the ability to clap the bench to the tub wall makes this bench extra secure and safe. The choice of two styles of tops that will provide both comfortable and easy to clean/sanitize surfaces.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/76fd7f_6ae1891f389f4239afb74c1ec1c9b566_mv2.jpg&quality=80&newwidth=420,https://www.rehabmart.com/product/portable-shower-bench-ada-50124.html
Folding Shower Transfer Bench- ADA Compliant,ADA Compliant Shower Benches,$612.58,$428.38,"The Folding Shower Transfer Bench is an ADA-compliant, wall-mounted seating system that assists the elderly, disabled, and those who have trouble keeping their balance while showering. Perfect for use in public showers found in gyms, swimming, medical and recreational facilities, the L-shaped shower bench allows for showering facilities to be accessible to anyone.  Constructed with a stainless frame that can support up to 900 lbs., the Folding Shower Transfer Bench features legs that can be adjusted in height. Choose from a left-side bench or a right-side bench with a phenolic top or padded Naugahyde top.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/1~18.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/folding-shower-transfer-bench-967.html
Portable Bath Seat with Folding Back and Clamp-On Utility - 400 Pound Weight Capacity,ADA Compliant Shower Benches,$677.08,$473.48,"Enjoy a safe bathing environment when showering in a tub with this Portable Clamp-On Bath Seat with Folding Back. This sturdy and strong bath bench uses two strong clamps to clamp onto the bathtub wall to securely hold it in place while the user slides safely across the tub wall along the bench, eliminating the chance of slipping and falling when climbing over a tub wall to get into the tub. The bench has a fold-up back that offers the user a comfortable place to sit while bathing as well as an extra safety feature. When not in use, the bench back and its two legs fold up flat, allowing the bench to be safely stored out of the way.

Please note that this bath seat fits tubs with a water supply on the left side; however, if the backrest is not installed, it can be used as a left-handed seat.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/portable_clamp-on_bath_seat_with_folding_back_-_ada_compliant.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/ada-portable-clamp-bath-chair-fold-50125.html
Freedom ADA 39 in. x 37.5 in. One Piece Transfer Shower Stall,Wheelchair Accessible Bathroom,"$3,415.31","$2,567.90","The ADA One Piece Transfer Shower is barrier-free with a low threshold height. The shower stall boosts the ability to bathe independently, enabling those with limited abilities more freedom on a daily basis. The ADA One Piece Transfer Shower can be used in residential construction, however more common for commercial. The ADA One Piece Transfer Shower is made with slip-resistant flooring, eliminating the risk of falls. Also, complies with minimum interior dimensions of the ADA. 

Shown with optional accessories. Please contact your local contractor for installation. 30-year warranty on manufacturing defects.  Image above shows optional accessories [NOT INCLUDED]. Expect a lead time of 2-3 weeks for customized items.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/APFQ3682BF625L.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/freedom-ada-1piece-transfer-shower-40702.html
ADA Compliant Bathtub Bench,ADA Compliant Shower Benches,$526.14,$367.93,"The ADA Compliant Bathtub Bench makes bathing and showering a more comfortable and safer process for the elderly, disabled, and those who may need extra balancing support. ADA compliant, the Bathtub Bench is constructed with a stainless steel frame that supports up to 250 pounds. Using the ADA Compliant Bathtub Bench allows the user to sit on the bench and then lift one leg at a time over the bathtub wall, making bathtub transfers safe and easy. Perfect for use in home, nursing home, hospital, and rehabilitation facilities, the Bathtub Bench offers seam-sealed protection against moisture and bacteria. Choose from a phenolic or a padded naugahyde top.  We recommend consulting a contractor prior to installation. Please allow a lead time of 2-3 weeks.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/ab8ecf_7e06e886647145cb9866ff18d3d5ad7b_mv2_(1).jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/bathtub-bench1-35097.html
"Teak Removable Bathtub Bench Seat for Easy Bathing, Storage, or Decor with 300 lb. Weight Capacity",ADA Compliant Shower Benches,$741.25,$557.33,The Teak Removable Bathtub Bench is a highly durable bench that lays across the top of a bathtub and is equipped with adjustable pegs that provide it extra security. It can be adjusted through sliding pegs and adjustable height pegs as well. The bench is reinforced with a stainless steel frame as well as being resistant to water. It is also assembled and held together by marine grade stainless steel screws that are also sure to not rust or suffer any kind of water damage. This bench is also resistant to bacteria and mold so it's ensured to have a long lifespan and maintain its high quality throughout its life.,,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/bsf-26-stpa_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-removeable-bathtub-bench-46572.html
Teak ADA L-Shaped Shower Seat with Drop Down Legs,ADA Compliant Shower Benches,"$1,160.25",$872.37,"The L-Shaped Shower Seat with Drop Down Legs from TeakWorks4U makes a stylish and sturdy addition to any bathroom, sauna, gym, and more. The ADA compliant Shower Seat mounts to the wall and features drop down legs for additional stability and security. Teak wood is naturally repellent to water which protects against bacteria, mold, and mildew growth, making it safe for wet environments. The Shower Seat is available in right and left configurations, along with various sizes and two choices of beautiful Teak wood.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/left-hand-ada-withlegs_1024x1024~1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-ada-compliant-transfer-bench-40049.html
Corner Bath Bench - Aluminum Faux Wood for Storage and Decor with 200 lb. Capacity from Medline,ADA Compliant Shower Benches,$189.68,$132.64,"The stylish bathroom bench features an aluminum frame with a faux wood seat and shelf. This combination of materials creates a modern, minimalist look that will seamlessly integrate into your bathroom's design. The sturdy construction supports up to 200 lbs, making it suitable for a variety of users and purposes. With its compact 15.5 in. x 15.5 in. x 18 in. size, this bench offers generous storage space without taking up too much room. The neutral gray color allows it to blend in or stand out, depending on your bathroom's aesthetic. This versatile piece is also eligible for flexible spending account (FSA) or health savings account (HSA) reimbursement, providing an added benefit for health-conscious consumers.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/g2-501x1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/corner-aluminum-and-faux-wood-bath-bench-medline-54099.html
Mini Waterproof Teak Corner Bench for Showers and Tubs With Storage Shelf and 200 Pounds Weight Capacity,ADA Compliant Shower Benches,$313.83,$219.46,"The Teakworks4U Mini Corner Shower Bench Waterproof Teak Wood Bath Shelf is a convenient and beautiful solution to bathtub or shower storage in your home. This thoughtfully designed teak wood shower bench sits flush in the corner of most bathrooms and provides multiple levels of shelf space to hold toiletries. It can also be a sturdy support for shaving or shampooing and prevents users from bending low to pick up bottles or soap. 

The Teakworks4U Mini Corner Shower Bench Waterproof Teak Wood Bath Shelfs design is perfect for smaller showers, taking up very little space and maximizing horizontal area without sacrificing room to move. It comes pre-assembled and is made to withstand frequent moisture without warping or rusting.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/tbc-1712s_340c1d3f-3390-4ee6-85ec-bfd541aac493_672x672.webp&quality=80&newwidth=540,https://www.rehabmart.com/product/mini-teak-corner-shower-bench-53536.html
Mini Teak Corner Shower Bench with Shelf for Storage - 250 lb. Capacity,ADA Compliant Shower Benches,$313.83,$219.46,"The Teak Mini Corner Bench's triangular design allows it to fit well in shower areas and helps utilize small corner spaces.  Handcrafted from superior Teak wood and available in two color options, the Teak Mini Corner Bench compliments any decor by adding a natural element. The wood is naturally water, mold, and mildew resistant, making it ideal for indoor or outdoor use and great for wet environments.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/twu-ptbc-1712s-teak_mini_corner_bench.jpg&quality=80&newwidth=400,https://www.rehabmart.com/product/teak-mini-corner-bench-with-shelf-40057.html
Folding Tub Seat with 250 lbs. Capacity and White Phenolic Top,ADA Compliant Shower Benches,$614.44,$429.68,"The Folding Tub Seat is designed for versatile use and as a space-saving solution with a durable white phenolic top and a sturdy 304 stainless steel frame. This seat is ADA-compliant and supports up to 250 lbs. when properly installed. Measuring 25 in. wide by 15 in. deep, it comes in both right-hand and left-hand rear-mounted configurations, easily folding up out of the way when not in use.

Installation is easy with the included mounting flanges and 304 stainless steel screws for attaching it to wood blocking. Legs are adjustable for precise height customizing to allow for an exact fit for your area.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/414-TSRAR-2515-PWS.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/folding-tub-seat-white-phenolic-top-ada-compliant-55689.html
Fold Down Shower Seat with Legs and 500 lbs. Capacity,ADA Compliant Shower Benches,$647.03,$452.47,"The Fold Down Shower Seat with Legs and 500 lbs. Capacity offers sturdy support and convenient functionality, perfect for enhancing bathroom safety and comfort. Constructed with durable phenolic white slats and a robust 304 stainless steel frame, it provides reliable support for up to 500 lbs. when properly installed. The seat features a removable front portion with full-frame support, ensuring stability and ease of maintenance. Measuring 26 x 22 inches or adjustable to 26 x 15.5 inches, it is also available in a 32 x 22-inch size, catering to various shower spaces. 

ADA-compliant, this seat is designed for universal accessibility and folds neatly against the wall when not in use, saving space. Installation is straightforward with included hardware, utilizing flange brackets and wood blocking for secure mounting. Ideal for home or commercial settings, it combines practicality, durability, and comfort.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/400-FD-RV-2622-PW7.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/fold-down-shower-seat-legs-500lbs-capacity-55687.html
Clamp On Tub Seats with 250 lbs. Capacity and Curtain Slot Option,ADA Compliant Shower Benches,$692.22,$484.07,"The clamp-on tub seats are a practical and safe solution for anyone needing additional support in the bathtub.

They feature a durable phenolic top in either white or teak finishes, mounted on a sturdy 304 stainless steel frame. With a weight capacity of 250 lbs. and a design that meets ADA compliance, these seats offer reliability and accessibility. The dual clamps ensure a secure attachment to the tub wall, while the adjustable feet help achieve a level and stable seating surface. When not in use, the legs fold easily by removing the locking pin, saving space and maintaining convenience. Installation is straightforward, making these seats ideal for hotels, healthcare facilities, or personal use.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/426-TS-2615-PWS.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/clampon-tub-seat-250lbs-capacity-curtain-slot-versable-designs-55690.html
Teak Bathtub Bench With Mounting Brackets for Easy Transfer and Storage and 250 lbs. Weight Capacity - ADA Compliant,ADA Compliant Shower Benches,$711.59,$535.03,"The Wall Mounted Fold Down Teak Bath Bench is a wonderful solution for individuals with limited mobility who are looking for a versatile way to adapt their bathroom setup. This ADA-compliant shower bench can be folded up or down as needed, making it a great option for individuals with shared bathrooms or multiple people in the home with differing accessibility needs.

The construction of the Wall Mounted Fold Down Teak Bath Bench is as beautiful as it is sturdy, made from top-quality teakwood in the USA. The wooden slats can support up to 250 lbs. of weight and are designed to drain water efficiently, preventing slippery surfaces.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/tbf-30-em500x500_500x500_(1).jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-end-mount-bathroom-bench-53538.html
Teak Wood Spa and Bath Bench or Step for Indoor or Outdoor Use with 500 Pounds Weight Capacity,ADA Compliant Shower Benches,$332.12,$232.25,"The Teak Wood Bath Stool and Step is a versatile tool that makes a great addition to any space, indoors or out. High-quality materials like stainless steel screws and Titebond waterproof glue create a product that will stand up to the test of time, even with frequent use. The Stool and Step can be used as by a hot tub, in the shower or bath, in a garden, for help reaching the sink, and more. The Bath Stool and Step is available in a Plantation Teak finish. See below for more reasons why Teak is a great choice.",3 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/TS-BS_2_1024x1024.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/teak-spa-stool-and-step-46575.html
Teak Bath Bench for Showers with Four Folding Legs and Slip-Resistance with 250 Pound Weight Capacity by TeakWorks4U,ADA Compliant Shower Benches,$408.12,$285.40,"The TeakWorks4U Sturdy Teak Shower Bench with Folding Legs is an ideal option for elderly patients, and those who struggle with limited mobility. This bench works well with handheld shower heads, and can be placed in either a shower or tub. The rubber feet at the end of the aluminum legs are not only bacteria resistant, but they are also slip resistant. The legs are easy to fold under the bench, letting it be placed in storage between uses or packed away for traveling purposes. The marine grade stainless steel screws make sure the shower bench is sturdy for each use, while waterproof glue ensures the quality lasts.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/sturdyteakmain.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-shower-bench-folding-legs-teakworks4u-51987.html
Premium Teak Bath Bench for Shower with 250 lb. Weight Capacity and Aluminum Folding Legs - ADA Compliant,ADA Compliant Shower Benches,$435.21,$304.34,"Patients with limited mobility who want added stability and safety when bathing can benefit from the TeakWorks4U Premium Teak Shower Bench with Folding Aluminum Legs. The bench is crafted with premium Teak in order to be mold and mildew resistant. It is designed with a waterproof Titebond wood glue, and has bacteria resistant rubber feet. These rubber feet are also useful in keeping the bench in place, reducing the likelihood of injuries or accidents when bathing. Folding legs make it easy to store the Teak Shower Bench nearly anywhere. It can also be taken on the go, giving patients optimal bathing assistance when traveling.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/teakbench.webp&quality=80&newwidth=540,https://www.rehabmart.com/product/teak-shower-bench-folding-aluminum-legs-51986.html
Mini Rigid Teak Shower Bench for Storage and Support with 300 lbs. Weight Capacity,ADA Compliant Shower Benches,$436.49,$305.24,"The Mini Rigid Teak Bench is a naturally mildew and mold resistant bench made from natural Teak. The small size of the bench makes it perfect for use in the shower, boats, steam rooms, campers, and more. A shelf on the bottom provides convenient storage space. The Rigid Bench is available in gorgeous Plantation Teak finish. The Bench comes pre-assembled and ready to use right out of the box.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/TWU-PTB-1212RBS-Teak_Mini_Rigid_Shower_Bench.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/teak-mini-shower-bench-40056.html
Folding Shower Transfer Bench with 900 lbs. Weight Capacity from Versable Designs,ADA Compliant Shower Benches,$564.74,$394.92,"The Folding Shower Bench from Versable Designs is ADA-compliant and designed to provide bathroom stability, durability, and independence to those weighing up to 900 lbs. When mounted properly to appropriate wall backing and on secure flooring, the stainless steel frame of the Folding Shower Bench ensures ADA compliance. Constructed from stainless steel with four adjustable legs, the folding shower bench works well in heavy-traffic areas such as gyms, hospitals, nursing homes, and recreational facilities. The Versable Designs Folding Shower Bench comes with a five-year warranty and is available in your choice of tops. This hygiene item is non-returnable. This product typically ships 2-3 weeks after the order date.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/foldingbench2.jpg&quality=80&newwidth=339,https://www.rehabmart.com/product/bariatric-folding-shower-bench-37176.html
"Commercial Legged Teak Bench with 500 Pound Capacity for Bathrooms, Spas, Gyms, and Outdoor Areas",ADA Compliant Shower Benches,$647.76,$452.98,"The Commercial Legged Teak Bench is a beautiful and durable bench that makes a great addition to any bathroom space, gym, spa, outdoor setting, and more. Because of Teak's natural benefits, the wood is water-resistant, making it perfect for indoor or outdoor use. High-quality materials are used to ensure that the Teak Bench remains beautiful and durable for years to come. The Commercial Legged Teak Bench is available in three sizes in beautiful Plantation Teak finish.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/commercialbench_1024x1024.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/commercial-legged-teak-bench-46564.html
"Teak Rectangle Bath Bench for Showers and Bathtubs, Mold- and Mildew-Resistant, with Slots and 250 lb. Weight Capacity by TeakWorks4U",ADA Compliant Shower Benches,"$1,112.17",$836.22,"The Rigid Teak Bath Bench with Slots is an ideal product for those who want an environmentally conscious bathing aid. It is great for those with limited mobility, whether due to a chronic condition, neurological disorder, short term injury, or surgery recovery. This wooden bath bench works well for those who use a handheld shower head to bath, allowing them to easily clean off with minimal movement. It can also make a great addition to any steam room, giving users a comfortable place to relax. The battens with milled grooves on this TeakWorks4U bench work to make sure the water completely drains, preventing the build up of mold or mildew.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/rigidteakmain.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/rigid-teak-bath-bench-slots-51988.html
EZ Page Magnifier Full Page Magnifying Viewer for Low Vision,Page Magnifier,$237.44,$166.04,"Using EZ Page Magnifiers can double the size of the print underneath, reducing strain on the user's eyes and making reading much easier. Move the magnifier from left to right as you read for the clearest view. EZ Page Magnifiers are made from clear, strong lucite, with an unbreakable, scratch-resistant magnifying lens.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromma/603076l.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/ez-page-magnifiers-2143.html
"Full Page Magnifier for Limited Sight, 2 Pack",Page Magnifier,$58.81,$38.19,"The Full Page Magnifier can magnify a full page at a time, yet is still easily portable. Fold it or roll it to carry it easily while traveling, or stick the Full Page Magnifier in a book, bag, or briefcase. Use it for reading road maps, menus, or any other text.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/MA-R020.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/full-page-magnifier-5691.html
HT-2 Large Oxygen Cylinder Cart,Oxygen Carts,$529.07,$369.98,"The HT-2 Large Oxygen Cylinder Cart can carry one large cylinder. It is zinc plated and has a securing chain and 10"" x 2.5"" polyurethane foam, flat free tires.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/FWF-1190-Large Cylinder Carts.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/ht2-large-oxygen-cylinder-cart-33818.html
